dimension,value,n,wins,stops,closes,wr_pct,avg_pnl,total_pnl,max_loss
scanner,abook,62,25,31,6,40.32,39.1,2424.18,-100.64
scanner,momentum,72,31,41,0,43.06,28.9,2080.57,-100.46
scanner,intraday,46,8,6,32,17.39,27.67,1272.88,-99.88
scanner,short,43,18,25,0,41.86,25.46,1094.8,-100.63
gap_tier,IN_BAND,77,27,31,19,35.06,31.61,2433.95,-100.09
gap_tier,(none),62,25,31,6,40.32,39.1,2424.18,-100.64
gap_tier,EXTREME,22,12,9,1,54.55,64.0,1407.89,-100.46
gap_tier,PARABOLIC,19,8,10,1,42.11,30.95,588.0,-100.36
gap_tier,STRETCHED,43,10,22,11,23.26,0.43,18.41,-100.63
regime,FAVORABLE,222,81,103,38,36.49,30.06,6672.56,-100.64
regime,FAVOR,1,1,0,0,100.0,199.87,199.87,199.87
stop_method,FIXED,177,74,97,6,41.81,31.64,5599.55,-100.64
stop_method,PM low,22,5,2,15,22.73,42.53,935.68,-99.84
stop_method,fixed-%-fallback,1,1,0,0,100.0,199.89,199.89,199.89
stop_method,PM high,23,2,4,17,8.7,5.97,137.31,-99.88
side,LONG,156,61,74,21,39.1,34.87,5440.43,-100.64
side,SHORT,67,21,29,17,31.34,21.37,1432.0,-100.63
setup,MOO,62,25,31,6,40.32,39.1,2424.18,-100.64
setup,MOO_GENESIS,72,31,41,0,43.06,28.9,2080.57,-100.46
setup,SHORT_GENESIS_9_33,43,18,25,0,41.86,25.46,1094.8,-100.63
setup,HOLDING-LONG,22,5,2,15,22.73,42.53,935.68,-99.84
setup,FAILED-GAP-SHORT,21,3,3,15,14.29,20.95,439.96,-99.88
setup,ORB-SHORT,1,0,0,1,0.0,0.11,0.11,0.11
setup,ORB-SHORT|FAILED-GAP-SHORT,2,0,1,1,0.0,-51.44,-102.87,-99.78
setup_kind,(none),183,68,86,29,37.16,29.57,5411.44,-100.64
setup_kind,SINGLE,40,14,17,9,35.0,36.52,1460.99,-100.63
cohort,MID,128,46,65,17,35.94,25.91,3315.96,-100.0
cohort,PENNY,95,36,38,21,37.89,37.44,3556.47,-100.64
conviction_band,(none),223,82,103,38,36.77,30.82,6872.43,-100.64
