ticker,side,mode,tier,fem,entry,stop,t1,rr,risk,last_close,dist_pct,proximity,cluster_gaps,cluster_tfs,tfs,cluster_top,cluster_bot,path,total_genesis,vol_ratio_today,vol_ratio_3d,hot_days,move_pct,total_gaps,n_timeframes,news
GV,Short,RESISTANCE,T3-SHORT,80,0.3042,0.3059,0.2324,42.2,0.0017,0.267,13.9,WAITING,1,1,1m,0.3059,0.3042,HIGHWAY,0,14.4,5.5,2,131.5,50,8,
BFRG,Short,RESISTANCE,T3-SHORT,80,1.81,1.817,1.665,20.7,0.007,1.68,7.7,WAITING,1,1,1m,1.817,1.81,HIGHWAY,953665,6.9,6.6,2,299.6,31,8,
BFRG,Long,FRESH_HOLD,T3-LONG_WATCH,66,1.665,1.66,1.81,29.0,0.005,1.68,0.9,CLOSE,1,1,1m,1.665,1.66,HIGHWAY,327071,6.9,6.6,2,299.6,31,8,
MGN,Short,RESISTANCE,T3-SHORT,80,0.1777,0.1788,0.1699,7.1,0.0011,0.1752,1.4,CLOSE,1,1,1m,0.1788,0.1777,HIGHWAY,0,3.5,2.4,4,3940.6,51,8,
MGN,Long,PULLBACK,T2-LONG,79,0.167,0.165,0.1777,5.3,0.002,0.1752,4.7,APPROACH,2,2,"10m,15m",0.167,0.165,HIGHWAY,0,3.5,2.4,4,3940.6,51,8,
DRIP,Long,PULLBACK,T2-LONG,79,3.95,3.94,4.42,47.0,0.01,4.14,4.6,APPROACH,3,3,"10m,1m,5m",3.95,3.94,OPEN_ROAD,11306468,2.0,1.4,1,14.9,55,8,
DRIP,Long,FRESH_HOLD,T2-LONG,61,4.07,4.03,4.42,8.7,0.04,4.14,1.7,CLOSE,2,1,1m,4.07,4.03,OPEN_ROAD,1093593,2.0,1.4,1,14.9,55,8,
DRIP,Short,RESISTANCE,T5-SHORT,55,4.42,4.52,4.07,3.5,0.1,4.14,6.8,APPROACH,1,1,1d,4.52,4.42,OPEN_ROAD,450328790,2.0,1.4,1,14.9,55,8,
ELAB,Short,RESISTANCE,T2-SHORT,80,6.72,6.84,5.7,8.5,0.12,5.99,12.2,WAITING,1,1,1d,6.84,6.72,HIGHWAY,334740,5.6,6.3,2,301.2,47,8,
ELAB,Long,PULLBACK,T3-LONG_WATCH,56,5.7,5.6801,6.72,51.3,0.0199,5.99,4.8,APPROACH,1,1,1m,5.7,5.6801,HIGHWAY,988294,5.6,6.3,2,301.2,47,8,
AIIO,Short,RESISTANCE,T5-SHORT,26,0.12,0.1203,0.1025,58.3,0.0003,0.1066,12.6,WAITING,1,1,5m,0.1203,0.12,OPEN_ROAD,0,2.7,1.5,1,42.4,81,8,
POLA,Long,FRESH_HOLD,T2-LONG,61,1.9,1.87,2.035,4.5,0.03,1.95,2.6,CLOSE,2,1,1m,1.9,1.87,OPEN_ROAD,9134,11.0,3.8,1,91.4,47,8,
POLA,Short,RESISTANCE,T5-SHORT,57,2.035,2.0501,1.9,8.9,0.0151,1.95,4.4,APPROACH,1,1,1m,2.0501,2.035,OPEN_ROAD,26922,11.0,3.8,1,91.4,47,8,
SPCE,Short,RESISTANCE,T3-SHORT,80,2.5,2.51,2.42,8.0,0.01,2.43,2.9,CLOSE,1,1,1m,2.51,2.5,HIGHWAY,15609,7.7,3.3,1,30.0,17,8,
BUR,Long,PULLBACK,T2-LONG,96,4.35,4.32,4.81,15.3,0.03,4.52,3.8,APPROACH,3,3,"15m,1m,5m",4.35,4.32,HIGHWAY,1069099,2.4,4.7,3,122.0,42,8,
BUR,Short,RESISTANCE,T3-SHORT,70,4.81,4.83,4.35,23.0,0.02,4.52,6.4,APPROACH,1,1,1m,4.83,4.81,HIGHWAY,431406,2.4,4.7,3,122.0,42,8,
EVTL,Long,PULLBACK,T2-LONG,89,2.02,2.0,2.37,17.5,0.02,2.21,8.6,WAITING,6,6,"10m,15m,1h,30m,4h,5m",2.02,2.0,OPEN_ROAD,11394180,6.4,3.8,2,62.1,83,8,
EVTL,Short,RESISTANCE,T5-SHORT,55,2.37,2.39,2.13,12.0,0.02,2.21,7.2,WAITING,1,1,1d,2.39,2.37,OPEN_ROAD,6481990,6.4,3.8,2,62.1,83,8,
PGEN,Short,RESISTANCE,T3-SHORT,80,4.31,4.38,3.73,8.3,0.07,3.87,11.4,WAITING,1,1,1d,4.38,4.31,HIGHWAY,46526837,2.4,2.1,3,40.6,24,8,
PROP,Short,RESISTANCE,T3-SHORT,80,2.09,2.095,2.015,15.0,0.005,2.03,3.0,CLOSE,1,1,1m,2.095,2.09,HIGHWAY,15690,2.1,1.4,2,35.0,36,8,
PROP,Long,PULLBACK,T3-LONG_WATCH,39,1.885,1.88,2.09,41.0,0.005,2.03,7.1,WAITING,1,1,1m,1.885,1.88,OPEN_ROAD,67704,2.1,1.4,2,35.0,36,8,
GVH,Long,PULLBACK,T1-STRONG_LONG,96,2.02,1.98,2.24,5.5,0.04,2.23,9.4,WAITING,4,3,"1h,1m,30m",2.02,1.98,HIGHWAY,3004857,4.5,6.5,2,166.3,77,8,
GVH,Short,RESISTANCE,T3-SHORT,80,2.24,2.245,2.02,44.0,0.005,2.23,0.4,CLOSE,1,1,1m,2.245,2.24,HIGHWAY,0,4.5,6.5,2,166.3,77,8,
AIXI,Short,RESISTANCE,T5-SHORT,24,0.13,0.1308,0.1128,21.5,0.0008,0.1174,10.7,WAITING,1,1,5m,0.1308,0.13,OPEN_ROAD,0,2.2,1.9,2,47.6,59,8,
ASTC,Short,RESISTANCE,T3-SHORT,80,5.32,5.34,5.17,7.5,0.02,5.23,1.7,CLOSE,1,1,1m,5.34,5.32,HIGHWAY,31296,0.7,6.7,1,239.3,41,8,
ASTC,Long,FRESH_HOLD,T2-LONG,70,5.17,5.15,5.32,7.5,0.02,5.23,1.1,CLOSE,2,2,"1h,4h",5.17,5.15,HIGHWAY,3927460,0.7,6.7,1,239.3,41,8,
ASTC,Long,PULLBACK,T2-LONG,54,4.76,4.71,5.32,11.2,0.05,5.23,9.0,WAITING,2,2,"15m,5m",4.76,4.71,OPEN_ROAD,3190255,0.7,6.7,1,239.3,41,8,
BMEA,Short,RESISTANCE,T5-SHORT,24,1.535,1.54,1.52,3.0,0.005,1.53,0.3,CLOSE,1,1,1m,1.54,1.535,MIXED,47667,2.8,1.6,2,39.5,45,8,
PAVS,Short,RESISTANCE,T3-SHORT,80,2.0628,2.1072,1.968,2.1,0.0444,1.9896,3.7,APPROACH,1,1,1h,2.1072,2.0628,HIGHWAY,155850,0.1,0.1,1,439.1,62,8,
PAVS,Long,PULLBACK,T3-LONG_WATCH,57,1.866,1.7712,2.0628,2.1,0.0948,1.9896,6.2,APPROACH,8,3,"10m,1m,5m",1.866,1.7712,HIGHWAY,1798,0.1,0.1,1,439.1,62,8,
ANNA,Short,RESISTANCE,T3-SHORT,70,8.53,8.55,7.54,49.5,0.02,8.29,2.9,CLOSE,1,1,1m,8.55,8.53,HIGHWAY,37290,0.5,0.6,0,72.4,71,8,
ANNA,Long,PULLBACK,T3-LONG_WATCH,40,7.52,7.5,8.53,50.5,0.02,8.29,9.3,WAITING,2,2,"1h,30m",7.52,7.5,OPEN_ROAD,7387552,0.5,0.6,0,72.4,71,8,
EEIQ,Short,RESISTANCE,T2-SHORT,80,9.0,9.06,8.8299,2.8,0.06,8.9,1.1,CLOSE,1,1,1m,9.06,9.0,HIGHWAY,11340,0.1,0.7,1,447.9,67,8,
EEIQ,Long,FRESH_HOLD,T3-LONG_WATCH,32,8.8299,8.802,9.0,6.1,0.0279,8.9,0.8,CLOSE,1,1,10m,8.8299,8.802,HIGHWAY,74547,0.1,0.7,1,447.9,67,8,
BATL,Short,RESISTANCE,T5-SHORT,22,3.93,3.9443,3.77,11.2,0.0143,3.9,0.8,CLOSE,1,1,1m,3.9443,3.93,MIXED,50541,0.9,0.9,1,104.4,88,8,
PSKY,Short,RESISTANCE,T3-SHORT,80,9.62,9.72,9.32,3.0,0.1,9.02,6.7,APPROACH,1,1,1d,9.72,9.62,HIGHWAY,137995480,1.1,0.8,0,7.7,28,8,
UMAC,Short,RESISTANCE,T3-SHORT,80,13.3,13.34,11.25,51.3,0.04,12.4,7.3,WAITING,1,1,30m,13.34,13.3,HIGHWAY,3879068,1.0,1.0,0,46.0,36,8,
UMAC,Long,PULLBACK,T3-LONG_WATCH,66,11.25,11.08,13.3,12.1,0.17,12.4,9.3,WAITING,6,6,"10m,15m,1h,30m,4h,5m",11.25,11.08,HIGHWAY,90373791,1.0,1.0,0,46.0,36,8,
BLND,Short,RESISTANCE,T3-SHORT,60,1.75,1.755,1.615,27.0,0.005,1.7,2.9,CLOSE,1,1,1m,1.755,1.75,HIGHWAY,0,1.6,1.2,0,18.1,19,8,
BLND,Long,PULLBACK,T3-LONG_WATCH,35,1.615,1.6,1.75,9.0,0.015,1.7,5.0,APPROACH,2,1,10m,1.615,1.6,HIGHWAY,0,1.6,1.2,0,18.1,19,8,
NEXT,Short,RESISTANCE,T5-SHORT,24,7.955,8.05,7.06,9.4,0.095,7.66,3.9,APPROACH,1,1,1d,8.05,7.955,OPEN_ROAD,59908930,1.2,1.0,0,24.2,19,8,
BFLY,Short,RESISTANCE,T2-SHORT,80,4.09,4.1,4.01,8.0,0.01,4.04,1.2,CLOSE,1,1,1m,4.1,4.09,HIGHWAY,3601,0.9,0.9,0,19.8,32,8,
BFLY,Long,FRESH_HOLD,T3-LONG_WATCH,75,4.01,3.98,4.09,2.7,0.03,4.04,0.7,CLOSE,4,3,"10m,1m,5m",4.01,3.98,HIGHWAY,563993,0.9,0.9,0,19.8,32,8,
KALA,Long,PULLBACK,T3-LONG_WATCH,52,0.1652,0.1633,0.1738,4.5,0.0019,0.1731,4.6,APPROACH,3,3,"10m,30m,5m",0.1652,0.1633,OPEN_ROAD,0,0.1,0.2,0,42.7,71,8,
KALA,Short,RESISTANCE,T5-SHORT,27,0.1775,0.1781,0.1725,8.3,0.0006,0.1731,2.5,CLOSE,1,1,1m,0.1781,0.1775,OPEN_ROAD,0,0.1,0.2,0,42.7,71,8,
BTQ,Long,PULLBACK,T2-LONG,65,2.42,2.37,2.69,5.4,0.05,2.67,9.4,WAITING,3,2,"10m,5m",2.42,2.37,OPEN_ROAD,389549,2.1,1.5,1,28.7,86,8,
TSSI,Long,FRESH_HOLD,T3-LONG_WATCH,41,12.96,12.93,13.19,7.7,0.03,13.01,0.4,CLOSE,2,2,"10m,5m",12.96,12.93,MIXED,88188,0.6,0.7,0,26.5,44,8,
TSSI,Short,RESISTANCE,T5-SHORT,15,13.19,13.22,12.96,7.7,0.03,13.01,1.4,CLOSE,1,1,1m,13.22,13.19,MIXED,10629,0.6,0.7,0,26.5,44,8,
VIR,Long,PULLBACK,T3-LONG_WATCH,54,8.64,8.47,9.45,4.8,0.17,8.96,3.6,APPROACH,7,7,"10m,15m,1d,1h,30m,4h,5m",8.64,8.47,OPEN_ROAD,48343121,0.6,0.5,0,13.7,16,8,
SLDE,Short,RESISTANCE,T3-SHORT,80,18.18,18.22,17.99,4.8,0.04,18.0,1.0,CLOSE,1,1,1m,18.22,18.18,HIGHWAY,11200,0.7,0.8,0,5.1,33,8,
LFST,Short,RESISTANCE,T2-SHORT,80,6.51,6.53,5.1,70.5,0.02,6.37,2.2,CLOSE,1,1,1h,6.53,6.51,HIGHWAY,402436,0.7,0.6,0,8.4,23,8,
VRAX,Long,PULLBACK,T2-LONG,67,0.2004,0.1659,0.29,2.6,0.0345,0.2199,8.9,WAITING,2,2,"1d,4h",0.2004,0.1659,OPEN_ROAD,567776514,19.5,6.5,1,84.1,26,8,
VRAX,Long,FRESH_HOLD,T3-LONG_WATCH,50,0.2148,0.2126,0.29,34.2,0.0022,0.2199,2.3,CLOSE,1,1,1m,0.2148,0.2126,OPEN_ROAD,0,19.5,6.5,1,84.1,26,8,
OXBR,Short,RESISTANCE,T3-SHORT,80,1.2,1.2029,1.045,53.4,0.0029,1.18,1.7,CLOSE,1,1,1m,1.2029,1.2,HIGHWAY,0,19.9,6.6,1,67.9,41,8,
ARTL,Short,RESISTANCE,T2-SHORT,80,7.65,7.75,7.45,2.0,0.1,7.58,0.9,CLOSE,1,1,1m,7.75,7.65,HIGHWAY,47880,0.4,3.4,1,574.9,40,8,
BURU,Long,PULLBACK,T2-LONG,80,0.164,0.1559,0.1843,2.5,0.0081,0.1773,7.5,WAITING,5,5,"10m,15m,1h,30m,5m",0.164,0.1559,OPEN_ROAD,5553208,2.2,1.1,1,30.9,49,8,
BURU,Short,RESISTANCE,T2-SHORT,80,0.1843,0.1853,0.1689,15.4,0.001,0.1773,3.9,APPROACH,1,1,1m,0.1853,0.1843,HIGHWAY,0,2.2,1.1,1,30.9,49,8,
ONDS,Short,RESISTANCE,T3-SHORT,80,9.35,9.44,8.28,11.9,0.09,9.04,3.4,APPROACH,1,1,1d,9.44,9.35,HIGHWAY,540822213,0.6,0.7,0,43.2,28,8,
ONDS,Long,PULLBACK,T3-LONG_WATCH,62,8.26,8.15,9.35,9.9,0.11,9.04,8.6,WAITING,6,6,"10m,15m,1h,30m,4h,5m",8.26,8.15,HIGHWAY,219527644,0.6,0.7,0,43.2,28,8,
JTAI,Short,RESISTANCE,T2-SHORT,63,0.0874,0.0877,0.0815,19.7,0.0003,0.086,1.6,CLOSE,1,1,10m,0.0877,0.0874,HIGHWAY,0,0.5,0.6,0,47.9,55,8,
JTAI,Long,PULLBACK,T3-LONG_WATCH,60,0.0815,0.0792,0.0874,2.6,0.0023,0.086,5.2,APPROACH,8,7,"10m,15m,1d,1h,30m,4h,5m",0.0815,0.0792,HIGHWAY,0,0.5,0.6,0,47.9,55,8,
RZLV,Long,PULLBACK,T3-LONG_WATCH,45,2.45,2.4402,3.03,59.2,0.0098,2.56,4.3,APPROACH,1,1,10m,2.45,2.4402,HIGHWAY,846448,2.3,2.4,2,27.2,17,8,
WNW,Short,RESISTANCE,T3-SHORT,80,0.0811,0.0815,0.0784,6.8,0.0004,0.0806,0.6,CLOSE,1,1,1m,0.0815,0.0811,HIGHWAY,0,0.1,0.2,0,82.9,55,8,
TPET,Short,RESISTANCE,T5-SHORT,12,0.71,0.7117,0.4012,181.6,0.0017,0.69,2.9,CLOSE,1,1,5m,0.7117,0.71,MIXED,0,0.2,0.3,0,45.3,63,8,
CXAI,Long,PULLBACK,T3-LONG_WATCH,43,0.165,0.1633,0.1857,12.2,0.0017,0.1805,8.6,WAITING,2,2,"15m,1m",0.165,0.1633,HIGHWAY,0,0.9,0.5,0,90.1,71,8,
CXAI,Short,RESISTANCE,T5-SHORT,40,0.1895,0.1961,0.1696,3.0,0.0066,0.1805,5.0,APPROACH,1,1,1d,0.1961,0.1895,OPEN_ROAD,10036948,0.9,0.5,0,90.1,71,8,
TE,Long,FRESH_HOLD,T3-LONG_WATCH,59,4.36,4.3512,4.48,13.6,0.0088,4.39,0.7,CLOSE,1,1,1m,4.36,4.3512,HIGHWAY,33417,2.6,1.6,1,64.0,31,8,
TE,Long,PULLBACK,T3-LONG_WATCH,47,4.22,4.21,4.48,26.0,0.01,4.39,3.9,APPROACH,1,1,5m,4.22,4.21,HIGHWAY,270480,2.6,1.6,1,64.0,31,8,
PSTV,Short,RESISTANCE,T2-SHORT,80,0.1675,0.1679,0.1663,3.0,0.0004,0.1626,3.0,APPROACH,1,1,1m,0.1679,0.1675,HIGHWAY,0,5.3,2.3,1,58.6,64,8,
PMNT,Long,PULLBACK,T2-LONG,70,0.2398,0.2265,0.4163,13.3,0.0133,0.259,7.4,WAITING,5,3,"10m,1m,30m",0.2398,0.2265,OPEN_ROAD,15733,0.9,3.5,1,104.9,44,8,
